index,delay,jitter,loss,ssim
0,0ms,0ms,0.0%,0.937
1,0ms,0ms,0.5%,0.969
2,0ms,0ms,1.0%,0.925
3,0ms,0ms,1.5%,0.972
4,0ms,0ms,2.0%,0.992
5,0ms,0ms,2.5%,0.998
6,0ms,0ms,3.0%,0.88
7,0ms,10ms,0.0%,0.969
8,0ms,10ms,0.5%,0.998
9,0ms,10ms,1.0%,0.952
10,0ms,10ms,1.5%,0.936
11,0ms,10ms,2.0%,0.967
12,0ms,10ms,2.5%,0.951
13,0ms,10ms,3.0%,0.885
14,0ms,20ms,0.0%,0.997
15,0ms,20ms,0.5%,0.997
16,0ms,20ms,1.0%,0.944
17,0ms,20ms,1.5%,0.922
18,0ms,20ms,2.0%,0.873
19,0ms,20ms,2.5%,0.79
20,0ms,20ms,3.0%,0.783
21,0ms,30ms,0.0%,0.945
22,0ms,30ms,0.5%,0.937
23,0ms,30ms,1.0%,0.787
24,0ms,30ms,1.5%,0.942
25,0ms,30ms,2.0%,0.808
26,0ms,30ms,2.5%,0.871
27,0ms,30ms,3.0%,0.931
28,0ms,40ms,0.0%,0.937
29,0ms,40ms,0.5%,0.93
30,0ms,40ms,1.0%,0.942
31,0ms,40ms,1.5%,0.943
32,0ms,40ms,2.0%,0.947
33,0ms,40ms,2.5%,0.983
34,0ms,40ms,3.0%,0.784
35,0ms,50ms,0.0%,0.937
36,0ms,50ms,0.5%,0.944
37,0ms,50ms,1.0%,0.936
38,0ms,50ms,1.5%,0.932
39,0ms,50ms,2.0%,0.873
40,0ms,50ms,2.5%,0.929
41,0ms,50ms,3.0%,0.853
42,0ms,60ms,0.0%,0.945
43,0ms,60ms,0.5%,0.937
44,0ms,60ms,1.0%,0.945
45,0ms,60ms,1.5%,0.842
46,0ms,60ms,2.0%,0.965
47,0ms,60ms,2.5%,0.937
48,0ms,60ms,3.0%,0.892
49,0ms,70ms,0.0%,0.997
50,0ms,70ms,0.5%,0.933
51,0ms,70ms,1.0%,0.851
52,0ms,70ms,1.5%,0.967
53,0ms,70ms,2.0%,0.947
54,0ms,70ms,2.5%,0.967
55,0ms,70ms,3.0%,0.767
56,0ms,80ms,0.0%,0.944
57,0ms,80ms,0.5%,0.996
58,0ms,80ms,1.0%,0.944
59,0ms,80ms,1.5%,0.933
60,0ms,80ms,2.0%,0.944
61,0ms,80ms,2.5%,0.88
62,0ms,80ms,3.0%,0.924
63,0ms,90ms,0.0%,0.937
64,0ms,90ms,0.5%,0.905
65,0ms,90ms,1.0%,0.985
66,0ms,90ms,1.5%,0.911
67,0ms,90ms,2.0%,0.792
68,0ms,90ms,2.5%,0.882
69,0ms,90ms,3.0%,0.976
70,0ms,100ms,0.0%,0.944
71,0ms,100ms,0.5%,0.943
72,0ms,100ms,1.0%,0.944
73,0ms,100ms,1.5%,0.943
74,0ms,100ms,2.0%,0.941
75,0ms,100ms,2.5%,0.877
76,0ms,100ms,3.0%,0.866
77,0ms,110ms,0.0%,0.944
78,0ms,110ms,0.5%,0.918
79,0ms,110ms,1.0%,0.909
80,0ms,110ms,1.5%,0.845
81,0ms,110ms,2.0%,0.891
82,0ms,110ms,2.5%,0.79
