"Time","values"
2023-12-20 06:31:00,100.56 ms
2023-12-20 06:31:30,128.90 ms
2023-12-20 06:32:00,111.39 ms
2023-12-20 06:32:30,128.38 ms
2023-12-20 06:33:00,139.11 ms
2023-12-20 06:33:30,124.82 ms
2023-12-20 06:34:00,124.07 ms
2023-12-20 06:34:30,145.89 ms
2023-12-20 06:35:00,146.77 ms
2023-12-20 06:35:30,131.64 ms
2023-12-20 06:36:00,138.68 ms
2023-12-20 06:36:30,138.60 ms
2023-12-20 06:37:00,141.79 ms
2023-12-20 06:37:30,114.01 ms
2023-12-20 06:38:00,132.35 ms
2023-12-20 06:38:30,117.29 ms
2023-12-20 06:39:00,114.12 ms
2023-12-20 06:39:30,156.57 ms
2023-12-20 06:40:00,125.69 ms
2023-12-20 06:40:30,131.55 ms
2023-12-20 06:41:00,145.92 ms
2023-12-20 06:41:30,136.50 ms
2023-12-20 06:42:00,134.58 ms
2023-12-20 06:42:30,122.96 ms
2023-12-20 06:43:00,117.66 ms
2023-12-20 06:43:30,133.39 ms
2023-12-20 06:44:00,114.29 ms
2023-12-20 06:44:30,103.83 ms
2023-12-20 06:45:00,88.22 ms
2023-12-20 06:45:30,99.55 ms
2023-12-20 06:46:00,98.25 ms
2023-12-20 06:46:30,87.54 ms
2023-12-20 06:47:00,88.28 ms
2023-12-20 06:47:30,81.90 ms
2023-12-20 06:48:00,78.78 ms
2023-12-20 06:48:30,87.93 ms
2023-12-20 06:49:00,81.71 ms
2023-12-20 06:49:30,77.28 ms
2023-12-20 06:50:00,77.43 ms
2023-12-20 06:50:30,77.49 ms
2023-12-20 06:51:00,72.96 ms
2023-12-20 06:51:30,73.10 ms
2023-12-20 06:52:00,82.49 ms
2023-12-20 06:52:30,72.87 ms
2023-12-20 06:53:00,68.20 ms
2023-12-20 06:53:30,71.55 ms
2023-12-20 06:54:00,76.66 ms
2023-12-20 06:54:30,62.08 ms
2023-12-20 06:55:00,65.32 ms
2023-12-20 06:55:30,62.56 ms
2023-12-20 06:56:00,67.63 ms
2023-12-20 06:56:30,56.35 ms
2023-12-20 06:57:00,53.25 ms
2023-12-20 06:57:30,51.50 ms
2023-12-20 06:58:00,51.51 ms
2023-12-20 06:58:30,53.70 ms
2023-12-20 06:59:00,46.88 ms
2023-12-20 06:59:30,42.17 ms
2023-12-20 07:00:00,41.06 ms
2023-12-20 07:00:30,41.48 ms
2023-12-20 07:01:00,42.59 ms
2023-12-20 07:01:30,45.45 ms
2023-12-20 07:02:00,41.03 ms
2023-12-20 07:02:30,44.18 ms
2023-12-20 07:03:00,41.53 ms
2023-12-20 07:03:30,47.72 ms
2023-12-20 07:04:00,43.83 ms
2023-12-20 07:04:30,42.46 ms
2023-12-20 07:05:00,44.52 ms
2023-12-20 07:05:30,39.51 ms
2023-12-20 07:06:00,43.45 ms
2023-12-20 07:06:30,39.27 ms
2023-12-20 07:07:00,40.04 ms
2023-12-20 07:07:30,41.16 ms
2023-12-20 07:08:00,43.71 ms
2023-12-20 07:08:30,36.84 ms
2023-12-20 07:09:00,46.06 ms
2023-12-20 07:09:30,47.19 ms
2023-12-20 07:10:00,50.60 ms
2023-12-20 07:10:30,49.28 ms
2023-12-20 07:11:00,41.42 ms
2023-12-20 07:11:30,46.75 ms
2023-12-20 07:12:00,51.04 ms
2023-12-20 07:12:30,48.05 ms
2023-12-20 07:13:00,45.62 ms
2023-12-20 07:13:30,46.37 ms
2023-12-20 07:14:00,50.99 ms
2023-12-20 07:14:30,43.80 ms
2023-12-20 07:15:00,43.97 ms
2023-12-20 07:15:30,48.62 ms
2023-12-20 07:16:00,51.52 ms
2023-12-20 07:16:30,58.45 ms
2023-12-20 07:17:00,56.15 ms
2023-12-20 07:17:30,63.19 ms
2023-12-20 07:18:00,57.78 ms
2023-12-20 07:18:30,70.16 ms
2023-12-20 07:19:00,59.55 ms
2023-12-20 07:19:30,61.65 ms
2023-12-20 07:20:00,53.45 ms
2023-12-20 07:20:30,66.69 ms
2023-12-20 07:21:00,67.95 ms
2023-12-20 07:21:30,62.20 ms
2023-12-20 07:22:00,71.38 ms
2023-12-20 07:22:30,71.42 ms
2023-12-20 07:23:00,75.51 ms
2023-12-20 07:23:30,76.94 ms
2023-12-20 07:24:00,70.99 ms
2023-12-20 07:24:30,73.53 ms
2023-12-20 07:25:00,94.03 ms
2023-12-20 07:25:30,82.62 ms
2023-12-20 07:26:00,88.18 ms
2023-12-20 07:26:30,91.51 ms
2023-12-20 07:27:00,84.14 ms
2023-12-20 07:27:30,97.65 ms
2023-12-20 07:28:00,93.93 ms
2023-12-20 07:28:30,108.44 ms
2023-12-20 07:29:00,107.20 ms
