"Time","values"
2023-12-20 06:31:30,33.54 ms
2023-12-20 06:32:00,46.43 ms
2023-12-20 06:32:30,49.25 ms
2023-12-20 06:33:00,38.99 ms
2023-12-20 06:33:30,29.25 ms
2023-12-20 06:34:00,48.44 ms
2023-12-20 06:34:30,49.92 ms
2023-12-20 06:35:00,61.34 ms
2023-12-20 06:35:30,49.85 ms
2023-12-20 06:36:00,48.47 ms
2023-12-20 06:36:30,31.81 ms
2023-12-20 06:37:00,43.89 ms
2023-12-20 06:37:30,43.60 ms
2023-12-20 06:38:00,80.89 ms
2023-12-20 06:38:30,49.56 ms
2023-12-20 06:39:00,54.57 ms
2023-12-20 06:39:30,29.11 ms
2023-12-20 06:40:00,59.03 ms
2023-12-20 06:40:30,49.03 ms
2023-12-20 06:41:00,46.09 ms
2023-12-20 06:41:30,42.61 ms
2023-12-20 06:42:00,62.27 ms
2023-12-20 06:42:30,34.25 ms
2023-12-20 06:43:00,41.10 ms
2023-12-20 06:43:30,39.87 ms
2023-12-20 06:44:00,31.27 ms
2023-12-20 06:44:30,36.54 ms
2023-12-20 06:45:00,29.18 ms
2023-12-20 06:45:30,39.44 ms
2023-12-20 06:46:00,35.07 ms
2023-12-20 06:46:30,18.66 ms
2023-12-20 06:47:00,27.65 ms
2023-12-20 06:47:30,34.99 ms
2023-12-20 06:48:00,32.59 ms
2023-12-20 06:48:30,25.01 ms
2023-12-20 06:49:00,24.40 ms
2023-12-20 06:49:30,22.71 ms
2023-12-20 06:50:00,22.08 ms
2023-12-20 06:50:30,27.89 ms
2023-12-20 06:51:00,13.41 ms
2023-12-20 06:51:30,25.51 ms
2023-12-20 06:52:00,15.85 ms
2023-12-20 06:52:30,24.90 ms
2023-12-20 06:53:00,24.53 ms
2023-12-20 06:53:30,13.81 ms
2023-12-20 06:54:00,13.10 ms
2023-12-20 06:54:30,19.27 ms
2023-12-20 06:55:00,26.25 ms
2023-12-20 06:55:30,15.04 ms
2023-12-20 06:56:00,17.97 ms
2023-12-20 06:56:30,20.48 ms
2023-12-20 06:57:00,17.83 ms
2023-12-20 06:57:30,22.17 ms
2023-12-20 06:58:00,18.14 ms
2023-12-20 06:58:30,21.12 ms
2023-12-20 06:59:00,13.38 ms
2023-12-20 06:59:30,23.43 ms
2023-12-20 07:00:00,15.40 ms
2023-12-20 07:00:30,8.85 ms
2023-12-20 07:01:00,10.59 ms
2023-12-20 07:01:30,10.55 ms
2023-12-20 07:02:00,13.30 ms
2023-12-20 07:02:30,17.99 ms
2023-12-20 07:03:00,13.25 ms
2023-12-20 07:03:30,19.18 ms
2023-12-20 07:04:00,13.39 ms
2023-12-20 07:04:30,8.81 ms
2023-12-20 07:05:00,5.73 ms
2023-12-20 07:05:30,14.51 ms
2023-12-20 07:06:00,13.82 ms
2023-12-20 07:06:30,11.14 ms
