"Time","values"
2023-12-20 06:31:45,0.100%
2023-12-20 06:32:00,0%
2023-12-20 06:32:15,0%
2023-12-20 06:32:30,0%
2023-12-20 06:32:45,0%
2023-12-20 06:33:00,0%
2023-12-20 06:33:15,0%
2023-12-20 06:33:30,0%
2023-12-20 06:33:45,0%
2023-12-20 06:34:00,0.100%
2023-12-20 06:34:15,0%
2023-12-20 06:34:30,0%
2023-12-20 06:34:45,0%
2023-12-20 06:35:00,0%
2023-12-20 06:35:15,0.100%
2023-12-20 06:35:30,0%
2023-12-20 06:35:45,0%
2023-12-20 06:36:00,0%
2023-12-20 06:36:15,0%
2023-12-20 06:36:30,0%
2023-12-20 06:36:45,0%
2023-12-20 06:37:00,0%
2023-12-20 06:37:15,0%
2023-12-20 06:37:30,0%
2023-12-20 06:37:45,0%
2023-12-20 06:38:00,0%
2023-12-20 06:38:15,0%
2023-12-20 06:38:30,0%
2023-12-20 06:38:45,0%
2023-12-20 06:39:00,0%
2023-12-20 06:39:15,0%
2023-12-20 06:39:30,0%
2023-12-20 06:39:45,0%
2023-12-20 06:40:00,0%
2023-12-20 06:40:15,0%
2023-12-20 06:40:30,0%
2023-12-20 06:40:45,0%
2023-12-20 06:41:00,0%
2023-12-20 06:41:15,0%
2023-12-20 06:41:30,0%
2023-12-20 06:41:45,0%
2023-12-20 06:42:00,0%
2023-12-20 06:42:15,0.100%
2023-12-20 06:42:30,0%
2023-12-20 06:42:45,0%
2023-12-20 06:43:00,0%
2023-12-20 06:43:15,0%
2023-12-20 06:43:30,0%
2023-12-20 06:43:45,0.100%
2023-12-20 06:44:00,0%
2023-12-20 06:44:15,0%
2023-12-20 06:44:30,0%
2023-12-20 06:44:45,0%
2023-12-20 06:45:00,0%
2023-12-20 06:45:15,0%
2023-12-20 06:45:30,0%
2023-12-20 06:45:45,0%
2023-12-20 06:46:00,0%
2023-12-20 06:46:15,0%
2023-12-20 06:46:30,0%
2023-12-20 06:46:45,0%
2023-12-20 06:47:00,0.100%
2023-12-20 06:47:15,0%
2023-12-20 06:47:30,0%
2023-12-20 06:47:45,0%
2023-12-20 06:48:00,0%
2023-12-20 06:48:15,0%
2023-12-20 06:48:30,0%
2023-12-20 06:48:45,0%
2023-12-20 06:49:00,0%
2023-12-20 06:49:15,0%
2023-12-20 06:49:30,0%
2023-12-20 06:49:45,0%
2023-12-20 06:50:00,0%
2023-12-20 06:50:15,0%
2023-12-20 06:50:30,0%
2023-12-20 06:50:45,0%
2023-12-20 06:51:00,0%
2023-12-20 06:51:15,0%
2023-12-20 06:51:30,0%
2023-12-20 06:51:45,0%
2023-12-20 06:52:00,0%
2023-12-20 06:52:15,0%
2023-12-20 06:52:30,0%
2023-12-20 06:52:45,0%
2023-12-20 06:53:00,0%
2023-12-20 06:53:15,0%
2023-12-20 06:53:30,0%
2023-12-20 06:53:45,0%
2023-12-20 06:54:00,0%
2023-12-20 06:54:15,0%
2023-12-20 06:54:30,0%
2023-12-20 06:54:45,0%
2023-12-20 06:55:00,0%
2023-12-20 06:55:15,0%
2023-12-20 06:55:30,0%
2023-12-20 06:55:45,0%
2023-12-20 06:56:00,0%
2023-12-20 06:56:15,0%
2023-12-20 06:56:30,0%
2023-12-20 06:56:45,0%
2023-12-20 06:57:00,0.100%
2023-12-20 06:57:15,0%
2023-12-20 06:57:30,0%
2023-12-20 06:57:45,0%
2023-12-20 06:58:00,0%
2023-12-20 06:58:15,0%
2023-12-20 06:58:30,0%
2023-12-20 06:58:45,0%
2023-12-20 06:59:00,0%
2023-12-20 06:59:15,0%
2023-12-20 06:59:30,0%
2023-12-20 06:59:45,0%
